Sku,Image Name,ImageHeight,ImageWidth,ratio
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01846.jpg,H01846.jpg,1024,779,1.3
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01847.jpg,H01847.jpg,1024,840,1.2
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01847.jpg,H01847.jpg,1024,840,1.2
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01848.jpg,H01848.jpg,643,1024,0.6
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01848.jpg,H01848.jpg,643,1024,0.6
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01849.jpg,H01849.jpg,770,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01849.jpg,H01849.jpg,770,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01850.jpg,H01850.jpg,873,1024,0.9
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01850.jpg,H01850.jpg,873,1024,0.9
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01851.jpg,H01851.jpg,769,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01851.jpg,H01851.jpg,769,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01853.jpg,H01853.jpg,1024,769,1.3
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01853.jpg,H01853.jpg,1024,769,1.3
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01854.jpg,H01854.jpg,1024,769,1.3
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01854.jpg,H01854.jpg,1024,769,1.3
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01855.jpg,H01855.jpg,919,1024,0.9
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01855.jpg,H01855.jpg,919,1024,0.9
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01860.jpg,H01860.jpg,588,1024,0.6
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01860.jpg,H01860.jpg,588,1024,0.6
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01861.jpg,H01861.jpg,740,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_AMZ_Highsmith_all_uploaded/H01861.jpg,H01861.jpg,740,1024,0.7
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01861.jpg,H01861.jpg,740,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_AMZ_Highsmith_all_uploaded - B&W Prep/Pending/Grp2/H01861.jpg,H01861.jpg,740,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01862.jpg,H01862.jpg,769,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01862.jpg,H01862.jpg,769,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01863.jpg,H01863.jpg,1024,768,1.3
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01863.jpg,H01863.jpg,1024,768,1.3
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01865.jpg,H01865.jpg,738,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_AMZ_Highsmith_all_uploaded/H01865.jpg,H01865.jpg,738,1024,0.7
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01865.jpg,H01865.jpg,738,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_AMZ_Highsmith_all_uploaded - B&W Prep/Pending/Grp2/H01865.jpg,H01865.jpg,738,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01866.jpg,H01866.jpg,732,1024,0.7
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01866.jpg,H01866.jpg,732,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01867.jpg,H01867.jpg,634,1024,0.6
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01867.jpg,H01867.jpg,634,1024,0.6
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01870.jpg,H01870.jpg,798,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_AMZ_Highsmith_all_uploaded/H01870.jpg,H01870.jpg,798,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01870.jpg,H01870.jpg,798,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_AMZ_Highsmith_all_uploaded - B&W Prep/Pending/Grp2/H01870.jpg,H01870.jpg,798,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01871.jpg,H01871.jpg,774,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_AMZ_Highsmith_all_uploaded/H01871.jpg,H01871.jpg,774,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01871.jpg,H01871.jpg,774,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_AMZ_Highsmith_all_uploaded - B&W Prep/Pending/Grp2/H01871.jpg,H01871.jpg,774,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01872.jpg,H01872.jpg,727,1024,0.7
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01872.jpg,H01872.jpg,727,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01873.jpg,H01873.jpg,591,1024,0.6
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01873.jpg,H01873.jpg,591,1024,0.6
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01874.jpg,H01874.jpg,785,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01874.jpg,H01874.jpg,785,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01875.jpg,H01875.jpg,769,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01875.jpg,H01875.jpg,769,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01876.jpg,H01876.jpg,657,1024,0.6
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01876.jpg,H01876.jpg,657,1024,0.6
